cluster,location_geometry
64,"POLYGON ((34.08310726 -118.33876104, 34.0788133 -118.32673816, 34.08046994 -118.32029759, 34.09392289 -118.2894889, 34.09788863 -118.28705807, 34.09837701 -118.28695714, 34.10323945 -118.28728839, 34.10538855 -118.28794554, 34.1130214 -118.33018681, 34.1122 -118.339, 34.11218671 -118.33908317, 34.10553967 -118.35537368, 34.10180509 -118.35922444, 34.09806961 -118.3568789, 34.09458967 -118.3539039, 34.08310726 -118.33876104))"
65,"POLYGON ((34.08589915 -118.26776787, 34.09561831 -118.2822492, 34.094376 -118.285288, 34.09164953 -118.29062327, 34.09083033 -118.29210763, 34.08916875 -118.29276388, 34.08683014 -118.29357147, 34.0862789 -118.29365378, 34.08190566 -118.29037431, 34.0680172 -118.27982171, 34.06792837 -118.27971388, 34.0679544 -118.2705239, 34.07433988 -118.26589816, 34.08045196 -118.26627103, 34.08589915 -118.26776787))"
66,"POLYGON ((34.03318081 -118.26051611, 34.04190017 -118.23518252, 34.04774309 -118.2335098, 34.05625458 -118.23276294, 34.0665051 -118.2382128, 34.08104683 -118.25939527, 34.09056497 -118.29835882, 34.09051409 -118.29856656, 34.09013681 -118.30003308, 34.08439421 -118.31362628, 34.07997577 -118.31474887, 34.0690176 -118.3161177, 34.06318837 -118.31581761, 34.05401291 -118.31081851, 34.05219431 -118.30849235, 34.0365125 -118.2742289, 34.03318081 -118.26051611))"
67,"POLYGON ((34.036525 -118.280023, 34.04287199 -118.27728284, 34.04638665 -118.28095595, 34.048697 -118.28741614, 34.04925592 -118.29180505, 34.049023 -118.294536, 34.04605301 -118.29384556, 34.0403364 -118.2856775, 34.036525 -118.280023))"
68,"POLYGON ((34.0532053 -118.2831933, 34.0515842 -118.2842397, 34.05009081 -118.27942642, 34.05126144 -118.27887786, 34.05278046 -118.27989784, 34.0532053 -118.2831933))"
70,"POLYGON ((34.0411071 -118.2893068, 34.03303793 -118.30262368, 34.03111928 -118.30363225, 34.03100496 -118.30368799, 34.01836407 -118.30875972, 34.01553935 -118.30901789, 34.01526 -118.309025, 34.01468527 -118.30888561, 34.0025998 -118.289986, 34.0026079 -118.2897274, 34.0093547 -118.2798124, 34.02505245 -118.26716638, 34.02515831 -118.26716973, 34.03127576 -118.26750671, 34.0411071 -118.2893068))"
71,"POLYGON ((34.02904667 -118.30941226, 34.02900363 -118.30965936, 34.0241231 -118.3091577, 34.0239399 -118.3083716, 34.02903796 -118.30913605, 34.02904667 -118.30941226))"
72,"POLYGON ((34.00840855 -118.27463188, 34.00442241 -118.28239839, 34.00211256 -118.28134546, 34.0005144 -118.2783727, 34.00840855 -118.27463188))"
73,"POLYGON ((34.11290602 -118.28629757, 34.11119567 -118.29167945, 34.11000115 -118.28868709, 34.11290602 -118.28629757))"
74,"POLYGON ((34.02840688 -118.26318836, 34.0243041 -118.2622174, 34.0244658 -118.25942047, 34.0271566 -118.25579097, 34.03048224 -118.25763834, 34.02875293 -118.26280036, 34.02840688 -118.26318836))"
